,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
156,"Walk Softly On This Heart Of Mine - Live At KFC Yum! Center, Louisville, KY / May 25, 2017",Eric Church,0.0846,0.613,0.0549,0.906,0.89,0.703,9.0,1.0,122.082,211573.0,25.0
157,People Get Ready (with Sting),Jeff Beck,0.164,0.418,0.068,0.658,0.98,0.439,2.0,1.0,154.667,273680.0,13.0
158,Circle of Friends - 25th Anniversary Re-Mastered Edition,Better Than Ezra,0.00138,0.435,0.0773,0.872,0.262,0.685,11.0,0.0,159.965,206200.0,16.0
159,Recuerdos Tristes,Banda Cana Verde,0.9,0.693,0.0413,0.418,0.099,0.934,10.0,1.0,129.707,215760.0,22.0
160,"Symphony No. 2 in C Minor, Op. 25: III. Andante con variazioni",Reinhold Glière,0.944,0.151,0.0378,0.0793,0.0935,0.0379,8.0,1.0,137.585,784800.0,14.0
161,Como Extraño A Zacatecas,Banda La Autentica,0.582,0.604,0.0841,0.514,0.0533,0.973,0.0,1.0,200.259,202998.0,17.0
162,"Piano Sonata No. 25 in G Major, Op. 79: II. Andante",Ludwig van Beethoven,0.995,0.325,0.0419,0.00536,0.0721,0.063,10.0,1.0,70.639,190226.0,30.0
163,Te Necesito,Los Acosta,0.028,0.561,0.0319,0.7,0.35,0.837,5.0,1.0,172.176,221933.0,27.0
164,Gone,Jack Johnson,0.889,0.695,0.0486,0.252,0.349,0.527,4.0,1.0,104.226,118627.0,26.0
165,Psalm 19 (May The Words of My Mouth),Vineyard Worship,0.694,0.368,0.0277,0.188,0.118,0.197,0.0,1.0,96.481,339640.0,22.0
166,Un Minuto Más,Duelo,0.43,0.31,0.0439,0.528,0.157,0.432,0.0,1.0,167.74,209000.0,24.0
167,Under The Fall,Toby Keith,0.136,0.729,0.0306,0.768,0.0717,0.802,7.0,1.0,133.103,202134.0,23.0
168,Tu Forma de Ser,Los Salvajes De Chihuahua,0.0515,0.722,0.0454,0.714,0.0477,0.942,8.0,1.0,163.97,197224.0,29.0
169,Holy Is The Lord,Maranatha! Praise Band,0.069,0.506,0.026,0.552,0.205,0.358,9.0,1.0,82.945,273360.0,20.0
170,Sin Ti No Sé Vivir,Los Angeles Azules,0.336,0.654,0.0362,0.407,0.0969,0.805,2.0,1.0,83.939,223347.0,21.0
171,25a,Muskets,0.000156,0.373,0.265,0.908,0.326,0.368,5.0,0.0,179.976,149667.0,3.0
172,Etude Op. 25 : No. 8 in D-flat Major,Frédéric Chopin,0.994,0.21,0.0495,0.227,0.109,0.4,1.0,1.0,170.597,89467.0,13.0
173,"Etudes, Op. 25: No. 4 in A Minor",Frédéric Chopin,0.995,0.605,0.0505,0.265,0.132,0.494,5.0,1.0,92.948,102707.0,18.0
174,After The Fire Is Gone,Conway Twitty,0.733,0.566,0.0311,0.283,0.0957,0.622,4.0,1.0,52.186,158386.0,27.0
